time,plant_id,plant_name,plant_code,inverter_id,inverter_name,inverter_brand,inverter_model,inverter_nominal_power_kw,power_kw,energy_kwh,intensity_cc_a,intensity_ca_a,voltage_cc_v,voltage_ca_v,uptime_h,temperature_c,readings
2022-11-09 14:25:00+01,1,Alcolea,SomEnergia_Alcolea,19,inversor4,NULL,NULL,NULL,91.23,559.0,NULL,NULL,NULL,NULL,28258.0,42,1.0
2022-11-09 14:25:00+01,6,Florida,SomEnergia_La_Florida,21,inversor2,NULL,NULL,NULL,0.0,4208550.0,NULL,NULL,NULL,NULL,13400.0,60,1.0
2022-11-09 14:25:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,22,inversor1,NULL,NULL,NULL,83.13,154.44,NULL,NULL,NULL,NULL,2571.0,NULL,1.0
2022-11-09 14:25:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,28,inversor7,NULL,NULL,NULL,82.86,161.78,NULL,NULL,NULL,NULL,15556.0,NULL,1.0
2022-11-09 14:25:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,27,inversor6,NULL,NULL,NULL,82.24,157.64,NULL,NULL,NULL,NULL,16608.0,NULL,1.0
2022-11-09 14:25:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,26,inversor5,NULL,NULL,NULL,82.28,159.38,NULL,NULL,NULL,NULL,16580.0,NULL,1.0
2022-11-09 14:25:00+01,1,Alcolea,SomEnergia_Alcolea,16,inversor1,NULL,NULL,NULL,0.0,580.3,NULL,NULL,NULL,NULL,28298.0,20,1.0
2022-11-09 14:25:00+01,1,Alcolea,SomEnergia_Alcolea,17,inversor2,NULL,NULL,NULL,95.89,570.5,NULL,NULL,NULL,NULL,28304.0,42,1.0
2022-11-09 14:20:00+01,1,Alcolea,SomEnergia_Alcolea,17,inversor2,NULL,NULL,NULL,101.05,562.0,NULL,NULL,NULL,NULL,28304.0,42,1.0
2022-11-09 14:20:00+01,1,Alcolea,SomEnergia_Alcolea,16,inversor1,NULL,NULL,NULL,0.0,572.5,NULL,NULL,NULL,NULL,28298.0,21,1.0
