plant,signal,metric,device,device_type,device_uuid,device_parent,signal_uuid
Llanillos,Vr_BT,,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,ec655b2e-6097-4716-8ff7-ced6773865fc
Llanillos,Vs_BT,,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,105be32a-b1ee-4f79-9fab-ff413a44d07d
Llanillos,Vt_BT,,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,d67907b5-f142-4dd2-a9e7-6c7ec0c05d2b
Llanillos,energia,inverter_energy,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,ce82c413-4dc8-48dc-bef1-0a41aa9fe738
Llanillos,energia_total,,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,fb76c490-d393-4274-b61d-1d7468fa333a
Llanillos,temperatura_mitjana,,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,45bae2f5-84e3-4791-94df-8a9a5d2a89ce
Llanillos,intensitat,,stringbox_SCB1,string,363916dd-96de-44b4-9c62-23bc48a11029,inverter1,a909518d-75d3-4645-a44e-e79bc0fd061e
Llanillos,intensitat,,stringbox_SCB2,string,846fe189-0f8c-4d53-96f0-05a755aa0c41,inverter1,be0ebf9f-e0b5-47df-bac0-2ec1763afde8
Llanillos,intensitat,,stringbox_SCB3,string,9034a6ee-6bbf-4b6e-bcfa-0007595d50ca,inverter1,5afab8d4-4f1b-41f7-aee5-b1f2f9c11319
Llanillos,intensitat,,stringbox_SCB4,string,dad1c39e-127c-4838-98c0-7dd33f29beaa,inverter1,2ad09815-5b10-4957-b915-51471fc22503
Llanillos,intensitat,,stringbox_SCB5,string,0eb6ff01-ef76-4112-b468-5ac5e766aebc,inverter1,e10bc60e-d0fa-483c-8325-cd7e78505ab3
Llanillos,intensitat,,stringbox_SCB6,string,8c593384-d9ab-4f1a-9ecb-f5dc6775681c,inverter1,6fe6e4c9-fa87-430f-b0e4-68257598eee2
Llanillos,intensitat,,stringbox_SCB7,string,fb17065e-47d1-4564-a5e1-f1329e14060a,inverter1,685b0d57-0166-4680-a6f6-e79dfd0dcd42
Llanillos,intensitat,,stringbox_SCB8,string,1b6c664b-cc87-4988-be57-be414445482b,inverter1,69fc6c10-2153-441b-b950-5a3979352b86
Llanillos,intensitat,,stringbox_SCB9,string,4bd99dcc-3173-472b-8df4-3a7d9323f1cd,inverter1,440251b3-90c3-48d3-aa4b-875a5f636988
Llanillos,intensitat,,stringbox_SCB10,string,88262b0f-66d4-4ca3-b358-3cbd8fc4885f,inverter1,55736958-3e36-420b-ad90-d0a91e11f665
Llanillos,intensitat,,stringbox_SCB11,string,56ee9f87-7b33-402e-b673-5a057433b0dc,inverter1,a6791a24-3edf-4b88-b73b-680931202f66
Llanillos,intensitat,,stringbox_SCB12,string,f2a8c1de-fa00-4097-9075-4bb38a20fff2,inverter1,7fa90baa-00bb-4bb6-9c80-e8ea94a1f23a
Llanillos,intensitat,,stringbox_SCB13,string,c8842467-467e-49d3-b555-32f3505294ad,inverter1,83bfcec5-3d87-4db6-88ab-e8579761144a
Llanillos,intensitat,,stringbox_SCB14,string,3b1e74a9-c946-4ba9-9e4f-a2c382eba1fd,inverter1,bacf91a9-7e9d-498e-93f0-4dfe4c25d3ae
Llanillos,intensitat,,stringbox_SCB15,string,23bbeb02-c117-4d77-9c38-0af4177dc2db,inverter1,0b543e9c-7d5c-4a06-883f-1fa8278ec364
Llanillos,intensitat,,stringbox_SCB16,string,ccbb1eb0-1861-4b76-90e4-7e4ced038308,inverter1,fbbca888-2dbb-417e-9419-10048a00e842
Llanillos,intensitat,,stringbox_SCB17,string,85a08290-8fda-40ce-9586-29508714c0c5,inverter1,1ed77db3-fae7-4fd7-b9e5-ff13c14becea
